exception_type,date,service_id
1,20180527,niedziele handlowe
2,20180527,niehandlowe i święta
1,20180531,niedziele i święta
1,20180531,niehandlowe i święta
2,20180531,robocze
2,20180531,robocze i soboty
1,20180603,niedziele handlowe
2,20180603,niehandlowe i święta
1,20180610,niehandlowe i święta
2,20180610,niedziele handlowe
1,20180617,niehandlowe i święta
2,20180617,niedziele handlowe
1,20180624,niedziele handlowe
2,20180624,niehandlowe i święta
1,20180701,niedziele handlowe
2,20180701,niehandlowe i święta
1,20180708,niehandlowe i święta
2,20180708,niedziele handlowe
1,20180715,niehandlowe i święta
2,20180715,niedziele handlowe
1,20180722,niehandlowe i święta
2,20180722,niedziele handlowe
1,20180729,niedziele handlowe
2,20180729,niehandlowe i święta
1,20180805,niedziele handlowe
2,20180805,niehandlowe i święta
1,20180812,niehandlowe i święta
2,20180812,niedziele handlowe
1,20180815,niedziele i święta
1,20180815,niehandlowe i święta
2,20180815,robocze
2,20180815,robocze i soboty
1,20180819,niehandlowe i święta
2,20180819,niedziele handlowe
1,20180826,niedziele handlowe
2,20180826,niehandlowe i święta
1,20180902,niedziele handlowe
2,20180902,niehandlowe i święta
1,20180909,niehandlowe i święta
2,20180909,niedziele handlowe
1,20180916,niehandlowe i święta
2,20180916,niedziele handlowe
1,20180923,niehandlowe i święta
2,20180923,niedziele handlowe
1,20180930,niedziele handlowe
2,20180930,niehandlowe i święta
1,20181007,niedziele handlowe
2,20181007,niehandlowe i święta
1,20181014,niehandlowe i święta
2,20181014,niedziele handlowe
1,20181021,niehandlowe i święta
2,20181021,niedziele handlowe
1,20181028,niedziele handlowe
2,20181028,niehandlowe i święta
1,20181101,niedziele i święta
1,20181101,niehandlowe i święta
2,20181101,robocze
2,20181101,robocze i soboty
1,20181104,niedziele handlowe
2,20181104,niehandlowe i święta
1,20181111,niedziele i święta
1,20181111,niehandlowe i święta
2,20181111,niedziele handlowe
1,20181118,niehandlowe i święta
2,20181118,niedziele handlowe
1,20181125,niedziele handlowe
2,20181125,niehandlowe i święta
1,20181202,niedziele handlowe
2,20181202,niehandlowe i święta
1,20181209,niehandlowe i święta
2,20181209,niedziele handlowe
1,20181216,niedziele handlowe
2,20181216,niehandlowe i święta
1,20181223,niedziele handlowe
2,20181223,niehandlowe i święta
1,20181225,niedziele i święta
1,20181225,niehandlowe i święta
2,20181225,robocze
2,20181225,robocze i soboty
1,20181226,niedziele i święta
1,20181226,niehandlowe i święta
2,20181226,robocze
2,20181226,robocze i soboty
1,20181230,niedziele handlowe
2,20181230,niehandlowe i święta
1,20190101,niedziele i święta
1,20190101,niehandlowe i święta
2,20190101,robocze
2,20190101,robocze i soboty
1,20190106,niedziele i święta
1,20190106,niehandlowe i święta
2,20190106,niedziele handlowe
1,20190113,niehandlowe i święta
2,20190113,niedziele handlowe
1,20190120,niehandlowe i święta
2,20190120,niedziele handlowe
1,20190127,niedziele handlowe
2,20190127,niehandlowe i święta
1,20190203,niehandlowe i święta
2,20190203,niedziele handlowe
1,20190210,niehandlowe i święta
2,20190210,niedziele handlowe
1,20190217,niehandlowe i święta
2,20190217,niedziele handlowe
1,20190224,niedziele handlowe
2,20190224,niehandlowe i święta
1,20190303,niehandlowe i święta
2,20190303,niedziele handlowe
1,20190310,niehandlowe i święta
2,20190310,niedziele handlowe
1,20190317,niehandlowe i święta
2,20190317,niedziele handlowe
1,20190324,niehandlowe i święta
2,20190324,niedziele handlowe
1,20190331,niedziele handlowe
2,20190331,niehandlowe i święta
