route_id,route_short_name,route_long_name,route_type
12632,01,"Linia 01",3
12634,1,"Linia 1",3
12633,02,"Linia 02",3
12642,2,"Linia 2",3
12653,3,"Linia 3",3
12658,4,"Linia 4",3
12659,5,"Linia 5",3
12661,8,"Linia 8",3
12635,11,"Linia 11",3
12636,12,"Linia 12",3
12637,14,"Linia 14",3
12638,16,"Linia 16",3
12639,17,"Linia 17",3
12640,18,"Linia 18",3
12641,19,"Linia 19",3
12643,20,"Linia 20",3
12644,21,"Linia 21",3
12645,22,"Linia 22",3
12646,23,"Linia 23",3
12647,24,"Linia 24",3
12648,25,"Linia 25",3
12649,26,"Linia 26",3
12650,27,"Linia 27",3
12651,28,"Linia 28",3
12652,29,"Linia 29",3
12654,32,"Linia 32",3
12655,34,"Linia 34",3
12656,35,"Linia 35",3
12657,38,"Linia 38",3
