route_id,service_id,trip_id,wheelchair_accessible,bikes_allowed,trip_headsign
12633,robocze,1719791,0,0,""
12633,robocze,1719792,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12633,robocze,1719802,0,0,""
12633,robocze,1719782,0,0,""
12633,robocze,1719783,0,0,""
12633,robocze,1719816,0,0,"Z - Zjazd do zajezdni, C - Zjazd do zajezdni przez os.Kazan&#243;w, os.Rycerskie, B - Zjazd do zajezdni przez os.Rycerskie"
12633,robocze,1719795,0,0,""
12633,robocze,1719784,0,0,""
12633,soboty,1719803,0,0,""
12633,soboty,1719804,0,0,""
12633,soboty,1719805,0,0,""
12633,soboty,1719785,0,0,""
12633,soboty,1719806,0,0,""
12633,soboty,1719807,0,0,""
12633,soboty,1719808,0,0,""
12633,soboty,1719809,0,0,""
12633,soboty,1719820,0,0,"Z - Zjazd do zajezdni, C - Zjazd do zajezdni przez os.Kazan&#243;w, os.Rycerskie, B - Zjazd do zajezdni przez os.Rycerskie"
12633,niedziele i święta,1719786,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12633,niedziele i święta,1719787,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12633,niedziele i święta,1719794,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12633,niedziele i święta,1719788,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12633,niedziele i święta,1719789,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12633,niedziele i święta,1719790,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12633,niedziele i święta,1719793,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12633,niedziele i święta,1719819,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Z - Zjazd do zajezdni, C - Zjazd do zajezdni przez os.Kazan&#243;w, os.Rycerskie, B - Zjazd do zajezdni przez os.Rycerskie"
12652,robocze,1721839,0,0,""
12652,robocze,1721834,0,0,""
12652,robocze,1721835,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12652,robocze,1721844,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12652,robocze,1721832,0,0,"J - Kurs do ZPP przez ul.Jasińskiego,Batorego"
12652,robocze,1721847,0,0,""
12652,robocze,1721848,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12652,robocze,1721840,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej, Z - Zjazd do zajezdni"
12652,robocze,1721841,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12652,robocze,1721842,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12632,robocze,1719744,0,0,""
12632,robocze,1719745,0,0,""
12632,robocze,1719746,0,0,""
12632,robocze,1719729,0,0,""
12632,robocze,1719725,0,0,"Z - Zjazd do zajezdni ulicami: Jagiellońska, Dworskiego, A - Zjazd do zajezdni z Os.Krakowskie ul. Jagiellońska,Dworskiego"
12632,robocze,1719755,0,0,"B - Zjazd do zajezdni z Os.Krakowskie ul. Boh. Getta, W. Pola, W - Nie kursuje w dni wolne od nauki szkolnej"
12632,robocze,1719724,0,0,"Z - Zjazd do zajezdni ulicami: Jagiellońska, Dworskiego, A - Zjazd do zajezdni z Os.Krakowskie ul. Jagiellońska,Dworskiego"
12632,robocze,1719730,0,0,""
12632,robocze,1719731,0,0,""
12632,robocze,1719757,0,0,""
12632,soboty,1719727,0,0,""
12632,soboty,1719735,0,0,""
12632,soboty,1719736,0,0,""
12632,soboty,1719733,0,0,""
12632,soboty,1719734,0,0,""
12632,soboty,1719737,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12632,niedziele i święta,1719756,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Z - Zjazd do zajezdni ulicami: Jagiellońska, Dworskiego, A - Zjazd do zajezdni z Os.Krakowskie ul. Jagiellońska,Dworskiego"
12632,niedziele i święta,1719732,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12632,niedziele i święta,1719743,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12632,niedziele i święta,1719741,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12632,niedziele i święta,1719742,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12642,robocze,1720858,0,0,""
12642,robocze,1720918,0,0,"D - Kurs przez przystanek Dworskiego PKS i ul. Nestora"
12642,robocze,1720809,0,0,""
12642,robocze,1720919,0,0,"D - Kurs przez przystanek Dworskiego PKS i ul. Nestora"
12642,robocze,1720840,0,0,""
12642,robocze,1720839,0,0,""
12642,robocze,1720838,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12642,robocze,1720866,0,0,""
12642,robocze,1720882,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12642,robocze,1720865,0,0,""
12642,robocze,1720864,0,0,""
12642,robocze,1720841,0,0,""
12642,robocze,1720823,0,0,""
12642,robocze,1720810,0,0,""
12642,robocze,1720843,0,0,""
12642,robocze,1720853,0,0,""
12642,robocze,1720852,0,0,""
12642,robocze,1720851,0,0,""
12642,robocze,1720815,0,0,""
12642,robocze,1720831,0,0,""
12642,robocze,1720830,0,0,""
12642,robocze,1720829,0,0,""
12642,robocze,1720814,0,0,""
12642,robocze,1720813,0,0,""
12642,robocze,1720811,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12642,robocze,1720812,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12642,robocze,1720712,0,0,""
12642,robocze,1720711,0,0,""
12642,robocze,1720710,0,0,""
12642,robocze,1720763,0,0,"G - Kurs przez Winną G&#243;rę"
12642,robocze,1720709,0,0,""
12642,robocze,1720731,0,0,""
12642,robocze,1720713,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12642,robocze,1720715,0,0,""
12642,robocze,1720714,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12642,robocze,1720696,0,0,""
12642,robocze,1720695,0,0,""
12642,robocze,1720694,0,0,""
12642,robocze,1720702,0,0,""
12642,robocze,1720728,0,0,""
12642,robocze,1720793,0,0,"G - Kurs przez Winną G&#243;rę"
12642,robocze,1720693,0,0,""
12642,robocze,1720692,0,0,""
12642,robocze,1720792,0,0,"G - Kurs przez Winną G&#243;rę"
12642,robocze,1720691,0,0,""
12642,robocze,1720791,0,0,"G - Kurs przez Winną G&#243;rę"
12642,robocze,1720701,0,0,""
12642,robocze,1720700,0,0,""
12642,robocze,1720699,0,0,""
12642,robocze,1720790,0,0,"G - Kurs przez Winną G&#243;rę"
12642,robocze,1720729,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12642,robocze,1720719,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
